Sample,Meas1,Meas2,MeasMean,MeasDiff,Class
5893676, 1.13e+02, 1.01e+02, 1.07e+02, 1.17e+01,NA
2718574, 7.69e+01, 5.00e+01, 6.34e+01, 2.69e+01,Outlier
2395844, 1.04e+02, 1.19e+02, 1.12e+02,-1.46e+01,NA
8928130, 3.82e+01, 3.70e+01, 3.76e+01, 1.23e+00,NA
6838966, 7.56e+01, 7.34e+01, 7.45e+01, 2.24e+00,NA
4172135, 7.61e+01, 7.59e+01, 7.60e+01, 2.00e-01,NA
9947172, 1.64e+01, 1.98e+01, 1.81e+01,-3.40e+00,NA
3080188, 6.95e+01, 6.02e+01, 6.49e+01, 9.26e+00,NA
9001021, 8.08e+01, 9.30e+01, 8.69e+01,-1.22e+01,NA
1164583, 9.03e+01, 8.48e+01, 8.76e+01, 5.54e+00,NA
1265955, 4.79e+01, 4.59e+01, 4.69e+01, 1.94e+00,NA
1956691, 1.08e+02, 9.72e+01, 1.03e+02, 1.08e+01,NA
2421750, 4.50e+01, 4.41e+01, 4.45e+01, 9.22e-01,NA
3751877, 9.42e+01, 1.13e+02, 1.04e+02,-1.93e+01,Outlier
1935830, 9.37e+01, 9.35e+01, 9.36e+01, 1.69e-01,NA
5093481, 9.03e+01, 9.33e+01, 9.18e+01,-3.03e+00,NA
3222709, 3.33e+01, 3.37e+01, 3.35e+01,-3.75e-01,NA
4638769, 6.42e+01, 5.98e+01, 6.20e+01, 4.46e+00,NA
2889400, 1.01e+02, 1.22e+02, 1.11e+02,-2.01e+01,Outlier
6133308, 5.92e+01, 6.70e+01, 6.31e+01,-7.87e+00,NA
2599583, 7.20e+01, 6.98e+01, 7.09e+01, 2.20e+00,NA
4760810, 3.48e+01, 4.24e+01, 3.86e+01,-7.60e+00,NA
7839759, 1.05e+02, 8.86e+01, 9.67e+01, 1.61e+01,NA
3746757, 6.33e+01, 6.69e+01, 6.51e+01,-3.59e+00,NA
1238915, 8.24e+01, 5.87e+01, 7.05e+01, 2.36e+01,Outlier
2433661, 5.35e+01, 5.36e+01, 5.35e+01,-2.64e-02,NA
7679718, 9.10e+01, 8.85e+01, 8.98e+01, 2.51e+00,NA
2487206, 8.75e+00, 8.68e+00, 8.72e+00, 7.01e-02,NA
4808002, 4.37e+01, 5.34e+01, 4.85e+01,-9.66e+00,NA
3867421, 1.13e+02, 9.73e+01, 1.05e+02, 1.52e+01,NA
1489349, 5.01e+01, 4.57e+01, 4.79e+01, 4.36e+00,NA
2916264, 9.26e+01, 1.08e+02, 1.01e+02,-1.58e+01,NA
6159687, 1.75e+01, 1.79e+01, 1.77e+01,-4.10e-01,NA
4372378, 1.02e+02, 9.92e+01, 1.01e+02, 2.87e+00,NA
2488160, 5.38e+01, 5.40e+01, 5.39e+01,-2.89e-01,NA
5372231, 9.87e+01, 1.04e+02, 1.01e+02,-4.93e+00,NA
7545388, 1.10e+02, 1.05e+02, 1.07e+02, 4.73e+00,NA
1887601,-2.75e+00,-2.76e+00,-2.75e+00, 6.77e-03,NA
5551886, 9.04e+01, 9.60e+01, 9.32e+01,-5.65e+00,NA
8613126, 2.88e+01, 2.32e+01, 2.60e+01, 5.67e+00,NA
6608177,-2.91e+00,-3.10e+00,-3.00e+00, 1.90e-01,NA
4041405, 2.64e+01, 3.11e+01, 2.87e+01,-4.70e+00,NA
1976766,-7.86e+00,-8.52e+00,-8.19e+00, 6.64e-01,NA
8963565, 5.61e+01, 6.61e+01, 6.11e+01,-9.99e+00,NA
7597305, 9.17e+01, 1.02e+02, 9.70e+01,-1.07e+01,NA
5875081, 7.78e-01, 7.18e-01, 7.48e-01, 6.03e-02,NA
4459660, 7.53e+01, 8.22e+01, 7.88e+01,-6.91e+00,NA
2373178, 6.63e+01, 5.97e+01, 6.30e+01, 6.64e+00,NA
6381065, 7.11e+01, 7.19e+01, 7.15e+01,-7.71e-01,NA
2785317, 2.42e+01, 2.41e+01, 2.41e+01, 9.26e-02,NA
3922107, 9.16e+01, 9.31e+01, 9.24e+01,-1.51e+00,NA
3197279, 3.01e+01, 2.84e+01, 2.93e+01, 1.67e+00,NA
1027473, 1.00e+02, 9.34e+01, 9.69e+01, 7.05e+00,NA
6227760, 1.53e+00, 1.78e+00, 1.66e+00,-2.50e-01,NA
9115389, 8.56e+01, 6.65e+01, 7.60e+01, 1.91e+01,Outlier
1080361, 7.88e+00, 8.40e+00, 8.14e+00,-5.22e-01,NA
4817611, 4.07e+01, 4.22e+01, 4.14e+01,-1.47e+00,NA
9432909, 1.03e+02, 1.15e+02, 1.09e+02,-1.16e+01,NA
7449988, 5.92e+01, 5.81e+01, 5.86e+01, 1.15e+00,NA
9489585, 8.90e+00, 6.33e+00, 7.61e+00, 2.57e+00,NA
1697487,-6.31e+00,-6.50e+00,-6.40e+00, 1.96e-01,NA
9087569, 2.98e+01, 3.63e+01, 3.30e+01,-6.57e+00,NA
9079084, 4.88e+01, 4.28e+01, 4.58e+01, 6.01e+00,NA
2684197, 2.49e+01, 2.19e+01, 2.34e+01, 3.01e+00,NA
7630816, 4.08e+01, 4.53e+01, 4.31e+01,-4.54e+00,NA
8726305, 1.54e+01, 1.29e+01, 1.42e+01, 2.49e+00,NA
9270854, 1.25e+01, 1.15e+01, 1.20e+01, 1.02e+00,NA
8798511, 7.60e+01, 8.79e+01, 8.19e+01,-1.18e+01,NA
4339449, 4.60e+01, 5.48e+01, 5.04e+01,-8.87e+00,NA
1319324, 1.00e+02, 1.02e+02, 1.01e+02,-1.40e+00,NA
6417429, 9.16e+01, 9.68e+01, 9.42e+01,-5.20e+00,NA
2280585,-7.02e+00,-5.51e+00,-6.26e+00,-1.52e+00,NA
5739997, 9.04e+01, 9.34e+01, 9.19e+01,-3.01e+00,NA
4465001, 1.07e+02, 9.11e+01, 9.92e+01, 1.62e+01,NA
7742378, 9.14e+01, 7.12e+01, 8.13e+01, 2.01e+01,Outlier
8810580, 2.68e+01, 2.83e+01, 2.75e+01,-1.50e+00,NA
4092857,-3.37e+00,-2.97e+00,-3.17e+00,-4.02e-01,NA
5899062, 5.36e+01, 5.92e+01, 5.64e+01,-5.60e+00,NA
4333474, 1.83e+01, 2.13e+01, 1.98e+01,-2.99e+00,NA
3162265, 6.70e+01, 6.85e+01, 6.77e+01,-1.59e+00,NA
3429886, 2.93e+01, 2.47e+01, 2.70e+01, 4.69e+00,NA
2999313, 6.44e+01, 6.47e+01, 6.45e+01,-2.66e-01,NA
6298147, 3.48e+01, 3.54e+01, 3.51e+01,-5.59e-01,NA
4818984, 9.20e+01, 1.05e+02, 9.83e+01,-1.26e+01,NA
5440073, 3.58e+01, 2.93e+01, 3.25e+01, 6.54e+00,NA
5988541, 2.09e+01, 1.72e+01, 1.90e+01, 3.70e+00,NA
3835213, 1.24e+01, 1.72e+01, 1.48e+01,-4.81e+00,NA
1536891, 1.11e+01, 1.20e+01, 1.15e+01,-9.94e-01,NA
2432299, 3.44e+01, 2.99e+01, 3.21e+01, 4.58e+00,NA
3522770, 1.08e+02, 1.08e+02, 1.08e+02,-4.00e-01,NA
8647619, 6.01e+01, 5.03e+01, 5.52e+01, 9.82e+00,NA
6659937, 4.49e+01, 4.47e+01, 4.48e+01, 2.55e-01,NA
3972327, 5.00e+01, 4.37e+01, 4.69e+01, 6.28e+00,NA
8718019, 1.09e+01, 1.25e+01, 1.17e+01,-1.54e+00,NA
7013070, 5.56e+01, 5.46e+01, 5.51e+01, 1.04e+00,NA
6967432, 1.27e+01, 1.16e+01, 1.21e+01, 1.05e+00,NA
9661958, 9.33e+01, 9.13e+01, 9.23e+01, 1.99e+00,NA
3887789, 8.24e+01, 9.00e+01, 8.62e+01,-7.59e+00,NA
6993254, 2.54e+01, 2.17e+01, 2.35e+01, 3.67e+00,NA
7047668, 1.04e+02, 9.69e+01, 1.00e+02, 6.81e+00,NA
4809696, 1.33e+01, 1.51e+01, 1.42e+01,-1.74e+00,NA
5605361, 5.02e+01, 4.14e+01, 4.58e+01, 8.76e+00,NA
8578788, 3.38e+01, 3.38e+01, 3.38e+01,-2.42e-02,NA
9072200, 3.58e+01, 3.79e+01, 3.68e+01,-2.13e+00,NA
1475014, 4.38e+01, 4.16e+01, 4.27e+01, 2.18e+00,NA
1475010, 4.39e+01, 4.46e+01, 4.43e+01,-6.67e-01,NA
9152828, 1.52e+01, 1.79e+01, 1.66e+01,-2.73e+00,NA
5189136,-8.94e+00,-8.06e+00,-8.50e+00,-8.82e-01,NA
9115765, 5.45e+01, 5.63e+01, 5.54e+01,-1.79e+00,NA
2385255, 8.73e+01, 1.04e+02, 9.56e+01,-1.66e+01,NA
4444211, 9.58e+01, 1.20e+02, 1.08e+02,-2.43e+01,Outlier
4217885, 7.38e+01, 6.66e+01, 7.02e+01, 7.23e+00,NA
8900818, 4.94e+01, 5.17e+01, 5.05e+01,-2.30e+00,NA
3017583, 2.43e+01, 2.10e+01, 2.26e+01, 3.28e+00,NA
1637577, 4.65e+01, 7.00e+01, 5.82e+01,-2.35e+01,Outlier
2075601, 7.72e+01, 9.09e+01, 8.41e+01,-1.36e+01,NA
7572370, 7.07e+01, 8.21e+01, 7.64e+01,-1.14e+01,NA
6026111, 1.92e+01, 2.46e+01, 2.19e+01,-5.44e+00,NA
8754008, 1.04e+01, 9.43e+00, 9.92e+00, 9.92e-01,NA
6509275, 1.99e+01, 1.79e+01, 1.89e+01, 1.95e+00,NA
5861497, 4.66e+01, 5.47e+01, 5.06e+01,-8.14e+00,NA
8820061, 1.08e+02, 1.08e+02, 1.08e+02,-5.31e-01,NA
2199348, 7.38e+01, 5.19e+01, 6.28e+01, 2.19e+01,Outlier
6287629,-1.74e+00,-1.86e+00,-1.80e+00, 1.27e-01,NA
6558221, 4.84e+01, 4.78e+01, 4.81e+01, 6.48e-01,NA
1801418, 5.70e+01, 5.43e+01, 5.56e+01, 2.69e+00,NA
2899082, 6.85e+00, 5.99e+00, 6.42e+00, 8.65e-01,NA
8276662, 5.62e+01, 4.80e+01, 5.21e+01, 8.24e+00,NA
8546545, 6.76e+01, 6.65e+01, 6.70e+01, 1.11e+00,NA
2601514, 7.80e+01, 7.01e+01, 7.40e+01, 7.86e+00,NA
6222570, 1.10e+02, 9.16e+01, 1.01e+02, 1.82e+01,Outlier
9865833, 4.68e+01, 4.20e+01, 4.44e+01, 4.89e+00,NA
4740800, 3.57e+01, 2.98e+01, 3.27e+01, 5.91e+00,NA
3600181, 8.12e+01, 8.24e+01, 8.18e+01,-1.25e+00,NA
1984141, 4.46e+01, 4.03e+01, 4.24e+01, 4.21e+00,NA
1401812, 8.83e+01, 9.58e+01, 9.21e+01,-7.49e+00,NA
8713375, 2.02e+01, 1.88e+01, 1.95e+01, 1.38e+00,NA
7944911,-7.21e+00,-8.76e+00,-7.98e+00, 1.55e+00,NA
7321561,-6.88e+00,-5.05e+00,-5.96e+00,-1.83e+00,NA
3806688, 5.41e+01, 5.65e+01, 5.53e+01,-2.44e+00,NA
9338728, 7.38e+01, 6.19e+01, 6.78e+01, 1.20e+01,NA
7725933, 6.39e+01, 6.49e+01, 6.44e+01,-9.89e-01,NA
2445610,-4.73e+00,-4.74e+00,-4.73e+00, 1.23e-02,NA
3089709, 1.02e+02, 9.02e+01, 9.63e+01, 1.23e+01,NA
5298639, 8.89e+01, 9.37e+01, 9.13e+01,-4.79e+00,NA
9488854, 7.71e+01, 7.06e+01, 7.39e+01, 6.51e+00,NA
1086601, 5.14e+01, 5.70e+01, 5.42e+01,-5.55e+00,NA
5562065, 9.40e+01, 1.11e+02, 1.03e+02,-1.73e+01,NA
7705205, 7.19e+01, 7.26e+01, 7.22e+01,-6.32e-01,NA
6534443, 4.97e+01, 4.92e+01, 4.95e+01, 4.45e-01,NA
9373440, 7.18e+01, 7.34e+01, 7.26e+01,-1.52e+00,NA
9808216,-2.37e-03,-2.45e-03,-2.41e-03, 7.43e-05,NA
8525658, 2.34e+01, 2.10e+01, 2.22e+01, 2.36e+00,NA
7313600, 7.74e+01, 7.44e+01, 7.59e+01, 2.95e+00,NA
6913185, 6.87e+01, 7.13e+01, 7.00e+01,-2.63e+00,NA
8460514, 5.18e+01, 4.70e+01, 4.94e+01, 4.71e+00,NA
2767183, 4.46e+01, 4.87e+01, 4.66e+01,-4.17e+00,NA
7929331, 7.27e+01, 8.81e+01, 8.04e+01,-1.54e+01,NA
3708293, 8.75e+01, 9.51e+01, 9.13e+01,-7.64e+00,NA
1694314, 3.92e+01, 4.82e+01, 4.37e+01,-8.92e+00,NA
6901244, 1.04e-02, 1.34e-02, 1.19e-02,-3.01e-03,NA
4004531,-2.23e+00,-2.14e+00,-2.18e+00,-9.02e-02,NA
8835734, 2.09e+01, 2.03e+01, 2.06e+01, 6.65e-01,NA
9415685,-8.05e+00,-7.42e+00,-7.73e+00,-6.28e-01,NA
8059170, 6.36e+01, 4.75e+01, 5.56e+01, 1.62e+01,NA
1851647, 6.83e+01, 8.78e+01, 7.81e+01,-1.95e+01,Outlier
8139220, 5.84e+01, 4.32e+01, 5.08e+01, 1.52e+01,NA
1088353, 2.33e+01, 2.52e+01, 2.43e+01,-1.94e+00,NA
2506630,-5.41e+00,-5.32e+00,-5.36e+00,-9.10e-02,NA
9431905,-4.76e+00,-5.46e+00,-5.11e+00, 6.95e-01,NA
8099583,-6.75e+00,-6.69e+00,-6.72e+00,-6.41e-02,NA
7505332, 1.07e+02, 9.85e+01, 1.03e+02, 8.45e+00,NA
3778905, 8.38e+00, 9.34e+00, 8.86e+00,-9.61e-01,NA
4505223, 4.44e+01, 4.92e+01, 4.68e+01,-4.82e+00,NA
9935930, 5.33e+01, 6.55e+01, 5.94e+01,-1.23e+01,NA
8111239,-1.94e+00,-2.06e+00,-2.00e+00, 1.20e-01,NA
8457238, 1.46e+01, 1.73e+01, 1.60e+01,-2.65e+00,NA
7715986, 7.64e+01, 9.20e+01, 8.42e+01,-1.56e+01,NA
5809373, 9.91e+01, 1.09e+02, 1.04e+02,-9.87e+00,NA
6010713, 1.71e+01, 2.26e+01, 1.98e+01,-5.43e+00,NA
7202861, 7.99e+01, 7.99e+01, 7.99e+01,-8.30e-03,NA
1604489, 3.01e+01, 2.78e+01, 2.89e+01, 2.26e+00,NA
6981505, 1.18e+02, 1.03e+02, 1.10e+02, 1.52e+01,NA
7694289, 6.63e+01, 6.77e+01, 6.70e+01,-1.36e+00,NA
1855737,-7.25e+00,-7.31e+00,-7.28e+00, 6.20e-02,NA
5248807, 3.20e+01, 3.24e+01, 3.22e+01,-4.12e-01,NA
9480404, 4.47e+01, 3.99e+01, 4.23e+01, 4.79e+00,NA
6035251, 8.85e+01, 9.36e+01, 9.10e+01,-5.07e+00,NA
5235166, 4.49e+01, 5.24e+01, 4.86e+01,-7.43e+00,NA
8977477, 8.71e+01, 9.61e+01, 9.16e+01,-8.97e+00,NA
9969630, 1.03e+02, 8.47e+01, 9.39e+01, 1.84e+01,Outlier
8328988, 1.11e+02, 8.75e+01, 9.94e+01, 2.39e+01,Outlier
3526962, 8.18e+01, 7.88e+01, 8.03e+01, 3.04e+00,NA
7790070, 4.72e+01, 5.04e+01, 4.88e+01,-3.18e+00,NA
2465974, 1.12e+02, 8.05e+01, 9.64e+01, 3.19e+01,Outlier
3531130, 1.06e+02, 1.21e+02, 1.14e+02,-1.44e+01,NA
3322596, 5.02e+01, 4.85e+01, 4.94e+01, 1.62e+00,NA
3621978, 6.30e+01, 5.81e+01, 6.06e+01, 4.88e+00,NA
7820890, 2.18e+01, 2.45e+01, 2.31e+01,-2.64e+00,NA
4551385, 1.73e+01, 1.81e+01, 1.77e+01,-7.95e-01,NA
4988883, 2.24e+01, 2.59e+01, 2.42e+01,-3.46e+00,NA
5116957, 6.64e+01, 5.57e+01, 6.10e+01, 1.06e+01,NA
2264362, 4.43e+00, 7.84e+00, 6.14e+00,-3.41e+00,NA
7188659, 3.33e+01, 2.96e+01, 3.14e+01, 3.70e+00,NA
1550652, 4.43e+01, 5.10e+01, 4.77e+01,-6.65e+00,NA
5356859, 8.05e+01, 8.16e+01, 8.10e+01,-1.12e+00,NA
9697425, 2.50e+01, 2.25e+01, 2.38e+01, 2.40e+00,NA
1518817, 6.52e+01, 5.54e+01, 6.03e+01, 9.88e+00,NA
3369992, 3.30e+01, 4.67e+01, 3.99e+01,-1.37e+01,NA
2647807, 3.65e+01, 5.08e+01, 4.36e+01,-1.43e+01,NA
7740923, 7.66e+01, 6.84e+01, 7.25e+01, 8.26e+00,NA
2901438, 6.23e+01, 6.40e+01, 6.32e+01,-1.70e+00,NA
9134693, 6.36e+01, 6.97e+01, 6.67e+01,-6.01e+00,NA
9631465, 9.02e+01, 9.42e+01, 9.22e+01,-3.97e+00,NA
2398863, 8.39e+01, 1.01e+02, 9.26e+01,-1.74e+01,NA
5603319, 5.44e+01, 5.23e+01, 5.33e+01, 2.06e+00,NA
6480593, 2.78e+01, 3.67e+01, 3.22e+01,-8.87e+00,NA
8786139, 2.98e-01, 3.22e-01, 3.10e-01,-2.38e-02,NA
5680968, 5.38e+01, 4.87e+01, 5.13e+01, 5.07e+00,NA
9190165, 7.19e+00, 7.88e+00, 7.54e+00,-6.85e-01,NA
1895665, 2.51e+01, 2.86e+01, 2.69e+01,-3.45e+00,NA
5664705, 1.05e+02, 1.08e+02, 1.07e+02,-2.50e+00,NA
7601408, 1.16e+02, 8.12e+01, 9.86e+01, 3.48e+01,Outlier
7047738, 6.58e+01, 5.43e+01, 6.00e+01, 1.15e+01,NA
1731693, 9.44e+01, 9.01e+01, 9.22e+01, 4.33e+00,NA
9180050,-5.98e+00,-6.33e+00,-6.15e+00, 3.57e-01,NA
4670343, 1.74e+01, 2.10e+01, 1.92e+01,-3.55e+00,NA
6489678, 1.94e+01, 1.81e+01, 1.88e+01, 1.23e+00,NA
1430552, 4.64e+01, 4.98e+01, 4.81e+01,-3.42e+00,NA
3064831, 9.70e+01, 7.53e+01, 8.61e+01, 2.16e+01,Outlier
9036801,-1.51e+00,-1.68e+00,-1.59e+00, 1.66e-01,NA
4749338, 8.13e+01, 8.57e+01, 8.35e+01,-4.39e+00,NA
3196674, 9.76e+01, 1.15e+02, 1.06e+02,-1.73e+01,NA
7839581, 8.91e+01, 7.32e+01, 8.12e+01, 1.58e+01,NA
7107992, 2.73e+00, 2.79e+00, 2.76e+00,-6.25e-02,NA
9581547, 5.51e+01, 5.96e+01, 5.73e+01,-4.49e+00,NA
4296069, 7.30e+01, 6.80e+01, 7.05e+01, 4.98e+00,NA
8135379, 1.10e+01, 8.87e+00, 9.92e+00, 2.10e+00,NA
6903326, 3.15e+01, 4.05e+01, 3.60e+01,-9.06e+00,NA
6914455, 6.13e+01, 5.73e+01, 5.93e+01, 3.94e+00,NA
6112558, 1.45e+01, 1.69e+01, 1.57e+01,-2.45e+00,NA
9431466, 4.16e+01, 4.78e+01, 4.47e+01,-6.21e+00,NA
4786280, 1.95e+00, 1.91e+00, 1.93e+00, 4.15e-02,NA
8683517, 8.21e+00, 7.85e+00, 8.03e+00, 3.62e-01,NA
1833338, 4.80e+01, 4.61e+01, 4.71e+01, 1.94e+00,NA
